username,full_name,platform,total_followers,total_media_posts,account_category,boost_index,engagement_rate,engagement_rate_60d,avg_likes,avg_comments,avg_video_views,avg_1d,avg_3d,avg_7d,avg_14d,avg_30d,profile_url
chrissyteigen,chrissyteigen,Instagram,38516696,5078,Entertainment,79,0.0125652850223841,0.005296936633152,631385.875,3798.853279242732,4103189.972972973,,207509.16666666663,173582.55555555556,135266.38095238095,130093.67441860466,https://www.instagram.com/chrissyteigen
hm,hm,Instagram,38465468,7234,,83,0.0018397499407285,0.0006758832387562,89143.59722222222,280.13257305773345,553953.5636363636,7940.0,20035.5,32376.875,23677.70588235294,23883.025,https://www.instagram.com/hm
wizkhalifa,wizkhalifa,Instagram,38459483,424,,80,0.0080336001950389,0.0037800274925877,402888.9,2102.0629011553274,1495132.5409836066,,133757.0,133757.0,131096.14285714287,144087.7142857143,https://www.instagram.com/wizkhalifa
j.m,j.m,Instagram,38138950,22,Gaming,83,0.3456958842388448,0.2987771491484441,14124890.5,0.5238095238095238,31074759.1,,,9539024.0,9539024.0,11269273.0,https://www.instagram.com/j.m
anushkasen0408,anushkasen0408,Instagram,37993409,5203,Travel & Events,85,0.0147057489660095,0.0175192706086068,695413.1192307692,5034.1755689735255,571228.0,460494.0,536469.3333333334,616656.6666666666,568987.1538461539,615201.8292682926,https://www.instagram.com/anushkasen0408
worldstar,worldstar,Instagram,37818287,99022,Comedy,78,0.0031664079556344,0.0019609370206476,157546.17819540395,2493.1996207550424,1056851.689122807,35157.0,52582.8,74208.32051282052,72683.64864864865,71531.15126050421,https://www.instagram.com/worldstar
prattprattpratt,prattprattpratt,Instagram,37405186,718,Trailers,84,0.0188497568828913,0.0099787112109819,813539.0,4914.890243902439,2052633.9122807016,,,,359794.0,445609.5,https://www.instagram.com/prattprattpratt
marvelstudios,marvelstudios,Instagram,37389526,2593,Trailers,83,0.0143865710507854,0.0157566340860411,594215.25,1983.7201210287444,963850.054347826,,359538.3333333333,1049491.375,928507.2,832929.25,https://www.instagram.com/marvelstudios
WesleySafadao,wesleysafadao,Instagram,37149804,8842,,80,0.0055627528262731,0.0001996183992421,256129.7357142857,7318.797611565054,992787.572815534,0.0,0.0,0.0,0.0,0.0,https://www.instagram.com/wesleysafadao
parineetichopra,parineetichopra,Instagram,36973458,1325,Autos & Vehicles,84,0.0104619399323363,0.006776970516173,505700.3333333334,1639.3722466960353,852263.72,181106.0,158555.0,158555.0,235079.25,245650.16666666663,https://www.instagram.com/parineetichopra
cznburak,cznburak,Instagram,36935601,1746,Trailers,80,0.0232086579367152,0.0187011140580198,816501.0,8524.293877551021,7053235.344827586,,479925.0,474966.0,471769.3333333333,605418.2,https://www.instagram.com/cznburak
laudyacynthiabella,laudyacynthiabella,Instagram,36677982,379,Movies,76,0.0032899407758276,0.0012185594487517,172773.75,544.6907449209932,436724.4705882353,49424.0,49424.0,49424.0,19080.0,45644.66666666666,https://www.instagram.com/laudyacynthiabella
antogriezmann,antogriezmann,Instagram,36381765,865,Sports,83,0.0246410525226776,0.0094182628333664,1132433.0,4322.974193548387,1699071.4736842106,,462168.0,241066.25,258233.8571428572,266970.2727272727,https://www.instagram.com/antogriezmann
gisel_la,gisel_la,Instagram,36318320,9874,Sports,85,0.0031629555732285,0.0022000861348019,152328.63333333333,2451.686265060241,1081229.7558139537,,23381.0,36770.4,30533.090909090908,42558.391304347824,https://www.instagram.com/gisel_la
eminem,eminem,Instagram,36182573,649,Music,84,0.025279022377949,0.0268908688929975,1093015.5,9202.00925925926,3104548.172839506,,,1137281.0,918847.0,786575.0,https://www.instagram.com/eminem
rkive,rkive,Instagram,36005772,103,Gaming,83,0.2825142506817762,4.971187329649839e-09,10938709.25,0.1764705882352941,24065160.35,0.0,0.0,0.0,0.0,0.0,https://www.instagram.com/rkive
colesprouse,colesprouse,Instagram,35979076,1139,,81,0.0557396251432684,0.0312096589346598,2286897.5,7860.226244343891,5765129.833333333,212535.5,258277.0,258277.0,371631.4,1387607.5714285714,https://www.instagram.com/colesprouse
nattinatasha,nattinatasha,Instagram,35925441,26,Music,47,0.0108856502712779,0.0104419103726444,517671.2916666667,2717.1952095808383,1867592.993377484,,,,492944.0,492944.0,https://www.instagram.com/nattinatasha
mercedesbenz,mercedesbenz,Instagram,35833928,9990,Autos & Vehicles,77,0.0044426268262148,0.0018171487571576,197897.8542694497,384.9082840236686,358159.51181102364,29792.8,38741.25,44650.15384615384,50835.53164556962,58994.36305732484,https://www.instagram.com/mercedesbenz
tigerjackieshroff,tigerjackieshroff,Instagram,35453527,2071,Sports,83,0.024609820388767,0.0169856235981652,1110818.8333333333,6014.289915966387,2513956.4545454546,,,,,350053.0,https://www.instagram.com/tigerjackieshroff
barackobama,barackobama,Instagram,35433452,654,,81,0.0273173012539033,0.0143753570652208,1130236.5,10506.670926517572,2135436.0303030303,,568619.0,332564.6666666667,412736.0,409610.3333333333,https://www.instagram.com/barackobama
shahidkapoor,shahidkapoor,Instagram,35378098,1139,Trailers,82,0.0343318807183911,0.0253842225600625,1294704.75,5295.665198237885,3364583.409090909,,552046.0,734052.0,795631.25,795631.25,https://www.instagram.com/shahidkapoor
